customer_id,customer_name,email,phone,city,state,country,registration_date,customer_type,email_valid
CUST-00001,Theodore Arya,invalid-email,Not Available,Tiruppur,West Bengal,Senegal,2022-01-24,VIP,False
CUST-00002,Pallavi Som,gautami92@example.com,7692065349.0,Malda,Nagaland,France,2022-09-16,VIP,True
CUST-00003,Caleb Loyal,ohayre@example.org,914778779247.0,Gudivada,Nagaland,Sierra Leone,2021-08-26,VIP,True
CUST-00004,Om Samra,oni55@example.net,3388593081.0,Bhavnagar,Uttar Pradesh,Jordan,2023-12-21,VIP,True
CUST-00005,Harrison Chada,kiaan17@example.net,918166127565.0,Katihar,Chhattisgarh,Seychelles,2025-12-19,REGULAR,True
CUST-00006,Victor Vora,vritti26@example.org,3322532272.0,Rewa,Mizoram,Russia,2025-09-12,VIP,True
CUST-00007,Chameli Bath,eiravati01@example.net,916420150544.0,Patna,Telangana,South Korea,2023-05-22,VIP,True
CUST-00008,Warhi Bhatnagar,owen23@example.org,919422510434.0,Srinagar,Odisha,Libya,2020-01-11,VIP,True
CUST-00009,Zayan Khosla,oramakrishnan@example.com,6209198559.0,Bhagalpur,Jharkhand,Liberia,2022-05-01,VIP,True
CUST-00010,Brinda Raman,ssama@example.net,918269836613.0,Kollam,Gujarat,Albania,2018-07-18,VIP,True
CUST-00011,Wakeeta Choudhary,oeshioak@example.net,9554847866.0,Gandhidham,Karnataka,Lesotho,2025-05-31,VIP,True
CUST-00012,Mohammed Sankar,sswamy@example.net,914822612532.0,Durgapur,Sikkim,Cameroon,2023-06-08,REGULAR,True
CUST-00013,Ekani Bose,solankihemangini@example.net,2670417760.0,Raurkela Industrial Township,Haryana,Norway,2024-09-12,REGULAR,True
CUST-00014,Aarna Prashad,alexanderloyal@example.com,919526402503.0,Mangalore,Chhattisgarh,Hungary,2025-08-19,PREMIUM,True
CUST-00015,Unni Gill,chowdhurydavid@example.org,916291855450.0,Anantapuram,Telangana,Monaco,2021-02-23,REGULAR,True
CUST-00016,Lucky Deo,mallicklila@example.net,916873736982.0,Fatehpur,Mizoram,Iraq,2022-03-09,REGULAR,True
CUST-00017,Leena Sampath,ahujapooja@example.org,916037815258.0,Giridih,Rajasthan,Costa Rica,2024-07-24,VIP,True
CUST-00018,Aarav Vyas,doommen@example.org,4058916235.0,Dhanbad,Madhya Pradesh,Peru,2022-12-15,VIP,True
CUST-00019,Dakshesh Koshy,boasebalendra@example.com,919109966601.0,Nagaon,Haryana,Croatia,2021-12-07,REGULAR,True
CUST-00020,Mitali Bhargava,dayitaparekh@example.com,2943769027.0,Nadiad,Kerala,Antigua and Barbuda,2021-10-03,VIP,True
CUST-00021,Avni Tiwari,idika33@example.com,6599821254.0,Guntur,Assam,Latvia,2020-06-10,REGULAR,True
