customer_id,customer_name,email,phone,city,state,country,registration_date,customer_type
CUST-00001,THEODORE ARYA,invalid-email,,Tiruppur,West Bengal,Senegal,2022-01-24,VIP
CUST-00002,Pallavi Som,gautami92@example.com,07692065349,Malda,Nagaland,France,2022-09-16,VIP
CUST-00003,Caleb Loyal,ohayre@example.org,+914778779247,Gudivada,Nagaland,Sierra Leone,2021-08-26,VIP
CUST-00004,Om Samra,oni55@example.net,3388593081,Bhavnagar,Uttar Pradesh,Jordan,2023-12-21,VIP
CUST-00005,Harrison Chada,kiaan17@example.net,+918166127565,Katihar,Chhattisgarh,Seychelles,2025-12-19,REGULAR
CUST-00006,Victor Vora,vritti26@example.org,3322532272,Rewa,Mizoram,Russia,2025-09-12,VIP
CUST-00007,Chameli Bath,eiravati01@example.net,+916420150544,Patna,Telangana,South Korea,2023-05-22,VIP
CUST-00008,Warhi Bhatnagar,owen23@example.org,+919422510434,Srinagar,Odisha,Libya,2020-01-11,VIP
CUST-00009,Zayan Khosla,oramakrishnan@example.com,6209198559,Bhagalpur,Jharkhand,Liberia,2022-05-01,VIP
CUST-00010,Brinda Raman,ssama@example.net,+918269836613,Kollam,Gujarat,Albania,2018-07-18,VIP
CUST-00011,Wakeeta Choudhary,oeshioak@example.net,09554847866,Gandhidham,Karnataka,Lesotho,2025-05-31,VIP
CUST-00012,Mohammed Sankar,sswamy@example.net,+914822612532,Durgapur,Sikkim,Cameroon,2023-06-08,REGULAR
CUST-00013,Ekani Bose,solankihemangini@example.net,2670417760,Raurkela Industrial Township,Haryana,Norway,2024-09-12,REGULAR
CUST-00014,Aarna Prashad,alexanderloyal@example.com,+919526402503,Mangalore,Chhattisgarh,Hungary,2025-08-19,PREMIUM
CUST-00015,Unni Gill,chowdhurydavid@example.org,+916291855450,Anantapuram,Telangana,Monaco,2021-02-23,REGULAR
CUST-00016,Lucky Deo,mallicklila@example.net,+916873736982,Fatehpur,Mizoram,Iraq,2022-03-09,REGULAR
CUST-00017,Leena Sampath,ahujapooja@example.org,+916037815258,Giridih,Rajasthan,Costa Rica,2024-07-24,VIP
CUST-00018,Aarav Vyas,doommen@example.org,04058916235,Dhanbad,Madhya Pradesh,Peru,2022-12-15,VIP
CUST-00019,Dakshesh Koshy,boasebalendra@example.com,+919109966601,Nagaon,Haryana,Croatia,2021-12-07,REGULAR
CUST-00020,Mitali Bhargava,dayitaparekh@example.com,02943769027,Nadiad,Kerala,Antigua and Barbuda,2021-10-03,VIP
CUST-00021,Avni Tiwari,idika33@example.com,06599821254,Guntur,Assam,Latvia,2020-06-10,REGULAR
CUST-00022,Raagini Bahri,hemal11@example.net,+911130429312,Bilaspur,Uttarakhand,Brunei Darussalam,2022-01-20,PREMIUM
CUST-00023,Devika Sarin,gdhingra@example.net,8988757616,Patna,Uttar Pradesh,New Zealand,2025-02-27,VIP
CUST-00024,Harinakshi Khurana,bavaindira@example.org,00065316493,Ludhiana,Bihar,Iceland,2024-02-11,VIP
CUST-00025,Bachittar Ben,lalchakradhar@example.net,9200562272,Saharsa,Maharashtra,Cape Verde,2018-07-16,PREMIUM
CUST-00026,Eiravati Vohra,farhanlall@example.com,01662765713,Burhanpur,Telangana,Argentina,2019-04-19,PREMIUM
CUST-00027,Ekta Arora,dipta56@example.com,06017058327,Bardhaman,Kerala,East Timor,2018-12-25,PREMIUM
CUST-00028,Tanvi Chander,imaran90@example.com,02810262824,Panipat,Arunachal Pradesh,Syria,2018-03-10,VIP
CUST-00029,Bhavna Sidhu,kalaupkaar@example.com,+914701314588,Tinsukia,Meghalaya,Estonia,2023-04-16,REGULAR
CUST-00030,Champak Memon,csubramanian@example.com,02500492306,Chapra,Andhra Pradesh,El Salvador,2023-06-08,REGULAR
CUST-00031,Bhavya Oommen,usrinivas@example.net,+915518786692,Raiganj,Manipur,Ecuador,2021-12-17,PREMIUM
CUST-00032,Ekanta Bhagat,balendra00@example.org,+912876236205,Narasaraopet,Himachal Pradesh,Rwanda,2020-02-10,VIP
CUST-00033,Chatura Balay,obir@example.net,06894913997,Sangli-Miraj & Kupwad,Nagaland,Swaziland,2019-02-01,PREMIUM
CUST-00034,Pratyush Sahota,sehgalchanchal@example.com,+910280792998,Satara,Himachal Pradesh,Mali,2024-07-20,REGULAR
CUST-00035,Tamanna Sethi,ghosetriya@example.org,7219893307,Bhilwara,Tripura,Cambodia,2019-04-23,PREMIUM
