customer_id,customer_name,revenue
CUST-00261,Yatin Dhaliwal,125061.2
CUST-00293,Liam Chander,116091.71
CUST-00143,Dalbir Hegde,115815.77
CUST-00124,Reva Dugar,115179.68
CUST-00280,Varenya Sabharwal,100300.41
CUST-00139,Maya Chauhan,99861.51
CUST-00427,Lakshit Ramesh,90579.34
CUST-00499,Reva Soman,89413.31
CUST-00431,Daksh Sarin,82627.95
CUST-00350,Priya Modi,82533.49
CUST-00369,Simon Yadav,81720.29
CUST-00227,Yahvi Chatterjee,80802.92
CUST-00156,Indira Ben,77320.72
CUST-00009,Zayan Khosla,77047.01
CUST-00363,Krisha Sridhar,76423.88
CUST-00045,Abha Dhingra,75798.2
CUST-00079,Triya Salvi,71918.53
CUST-00493,Shaurya Dhaliwal,70319.41
CUST-00119,Ekaraj Contractor,69880.38
CUST-00384,Harsh Deo,69878.04
