customer_id,customer_name,revenue
CUST-00261,Yatin Dhaliwal,125061.2
CUST-00293,Liam Chander,116091.71
CUST-00143,Dalbir Hegde,115815.77
CUST-00124,Reva Dugar,115179.68
CUST-00280,Varenya Sabharwal,100300.41
CUST-00139,Maya Chauhan,99861.51
CUST-00427,Lakshit Ramesh,90579.34
CUST-00499,Reva Soman,89413.31
CUST-00431,Daksh Sarin,82627.95
CUST-00350,Priya Modi,82533.49
CUST-00369,Simon Yadav,81720.29
CUST-00227,Yahvi Chatterjee,80802.92
CUST-00156,Indira Ben,77320.72
CUST-00009,Zayan Khosla,77047.01
CUST-00363,Krisha Sridhar,76423.88
CUST-00045,Abha Dhingra,75798.2
CUST-00079,Triya Salvi,71918.53
CUST-00493,Shaurya Dhaliwal,70319.41
CUST-00119,Ekaraj Contractor,69880.38
CUST-00384,Harsh Deo,69878.04
CUST-00066,Noah Dora,68789.93
CUST-00172,Lakshmi Wason,67395.93
CUST-00211,Devansh Das,66935.11
CUST-00408,Hamsini Joshi,66884.12
CUST-00219,Chasmum Khanna,66869.8
CUST-00015,Unni Gill,65970.65
CUST-00414,George Chaudhry,65578.08
CUST-00058,Nicholas Brahmbhatt,65539.76
CUST-00334,Mahika Swaminathan,65404.64
CUST-00149,Yashawini Swaminathan,65258.0
CUST-00367,Barkha Bora,65171.2
CUST-00447,Pavani Nagy,64562.35
CUST-00309,Amol Om,64418.84
CUST-00097,Ansh Parmer,64050.11
CUST-00054,Chandresh Kurian,63661.65
CUST-00029,Bhavna Sidhu,63622.35
CUST-00342,Lucky Menon,63406.93
CUST-00120,Sara Brar,62468.04
CUST-00192,Zashil Patil,62386.41
CUST-00026,Eiravati Vohra,61538.07
CUST-00194,Chakradev Samra,61190.44
CUST-00118,Lila Mishra,61116.66
CUST-00264,Fiyaz Srivastava,60829.4
CUST-00405,Gaurang D’Alia,60084.03
CUST-00333,Lekha Aggarwal,59252.98
CUST-00127,Aadhya Hora,59234.03
CUST-00279,Om Handa,58771.99
CUST-00226,Farhan Sami,58688.96
CUST-00272,Mitali Srinivasan,58649.16
CUST-00348,Waida Bahri,58237.61
CUST-00434,Aditya Sheth,58113.49
CUST-00267,Yochana Ahluwalia,57788.25
CUST-00441,Zinal Reddy,57711.18
CUST-00166,Anmol Sarkar,57266.72
CUST-00278,Ekaja Chaudhary,56895.47
CUST-00492,Indrajit Setty,56381.99
CUST-00105,Shravya Palan,55685.24
CUST-00390,Parth Pandit,55426.17
CUST-00359,Januja Samra,55181.98
CUST-00016,Lucky Deo,55141.95
CUST-00329,Jagat Srinivas,54900.24
CUST-00177,Aadi Nigam,54021.33
CUST-00162,Garima Bhagat,54005.84
CUST-00300,Aryan Vohra,53315.35
CUST-00419,Abhiram Apte,53162.1
CUST-00239,Mason Ramakrishnan,53161.4
CUST-00126,Isha Sastry,52938.28
CUST-00040,Zayyan Krishna,52882.09
CUST-00353,Wishi Mangal,52495.62
CUST-00233,Karan Mandal,52315.68
CUST-00100,Triveni Varma,51474.55
CUST-00184,Gaurangi Rau,51380.26
CUST-00409,Krishna Dara,51187.38
CUST-00128,Jairaj Pandey,51108.91
CUST-00189,Ishita Dhaliwal,51046.28
CUST-00354,Reyansh Tripathi,50795.83
CUST-00188,Kai Karan,50780.91
CUST-00289,Aadhya Sridhar,49852.89
CUST-00323,Wazir Lal,49523.11
CUST-00436,Inaya Barad,49466.2
CUST-00135,Neelima Andra,49288.69
CUST-00325,Ati Madan,49105.74
CUST-00437,Girindra Rao,49073.6
CUST-00326,Jagat Pandey,48689.13
CUST-00450,Advik Singhal,48589.17
CUST-00417,Megha Barad,48338.96
CUST-00443,Champak Ganesan,48153.5
CUST-00159,Rishi Bains,47878.14
CUST-00152,Abhimanyu Reddy,47467.14
CUST-00081,Balvan Hegde,47463.49
CUST-00182,Jeevika Mander,47343.68
CUST-00064,Sai Lanka,47243.77
CUST-00489,Wazir Saha,46436.54
CUST-00454,Ria Shanker,46413.4
CUST-00299,Warinder Suresh,46409.19
CUST-00028,Tanvi Chander,46079.88
CUST-00181,Aradhana Bala,45702.64
CUST-00093,Mason Sarraf,45644.51
CUST-00255,Rushil Nagi,45514.79
CUST-00413,Vasatika Gara,45325.38
CUST-00060,Tanvi Wason,44804.06
CUST-00479,Ridhi Sibal,44794.89
CUST-00070,Ekaraj Sathe,44736.51
CUST-00095,Bhavini Kalla,44202.2
CUST-00044,Yadavi Bahl,44012.65
CUST-00449,Bakhshi Khanna,43934.25
CUST-00017,Leena Sampath,43850.02
CUST-00136,Omkaar More,43802.91
CUST-00444,Jackson Batta,43516.79
CUST-00048,Bhavna Srinivasan,42994.1
CUST-00439,Pahal Trivedi,42723.88
CUST-00430,Faraj Saraf,42617.22
CUST-00129,Vanya Thaman,42263.44
CUST-00209,Umang Shetty,41902.69
CUST-00046,Siya Desai,41783.0
CUST-00412,Vedika Malhotra,41722.31
CUST-00063,Yatin Bumb,41531.31
CUST-00217,Manthan Shere,41326.91
CUST-00395,Darika Zacharia,41288.68
CUST-00312,Vedhika Som,41206.05
CUST-00298,Baljiwan Chaudhuri,41063.35
CUST-00030,Champak Memon,41019.61
CUST-00426,Chaitanya Singhal,40962.75
CUST-00174,Harita Sandal,40940.91
CUST-00069,Mitali Reddy,40896.55
CUST-00452,Sara Vasa,40883.56
CUST-00111,Raagini Upadhyay,40829.59
CUST-00077,Jasmit Reddy,40552.42
CUST-00244,Ridhi Mistry,40450.41
CUST-00465,Henry Som,40397.88
CUST-00277,Dhruv Bose,40285.79
CUST-00347,Faras Sampath,40247.99
CUST-00005,Harrison Chada,40197.61
CUST-00344,Gaurika Bhatia,40146.11
CUST-00494,Shravya Patil,40007.11
CUST-00242,Geetika Keer,39988.52
CUST-00352,Chanakya Rastogi,39968.92
CUST-00206,Gaurika Dhar,39671.69
CUST-00145,Kalpit Mitra,39648.56
CUST-00084,Dominic Dutt,39595.89
CUST-00370,Daniel Ravel,38825.99
CUST-00221,Chanchal Bhat,38814.49
CUST-00500,Tarak Pall,38777.29
CUST-00025,Bachittar Ben,38530.87
CUST-00033,Chatura Balay,38154.6
CUST-00398,Ucchal Kamdar,38148.51
CUST-00225,Mohini Apte,37414.32
CUST-00215,Hemani Gokhale,37099.32
CUST-00381,Azaan Sehgal,36848.27
CUST-00247,Ayaan Dave,36799.88
CUST-00415,Triya Krishna,36625.23
CUST-00385,Eesha Kibe,36583.34
CUST-00358,Raghav Kumar,36544.41
CUST-00432,Nimrat Krishna,36174.31
CUST-00038,Oliver Agate,35948.89
CUST-00074,Tanvi Peri,35802.47
CUST-00360,Tanvi Bath,35621.21
CUST-00313,Ojas Seth,35429.15
CUST-00195,Gaurav Narasimhan,34771.65
CUST-00282,Yatin Chandra,34739.92
CUST-00075,Advik Konda,34649.36
CUST-00428,Harrison Kashyap,34629.91
CUST-00306,Watika Sodhi,34610.32
CUST-00307,Megha Balan,34592.59
CUST-00153,Ekalinga Bala,34303.56
CUST-00411,Faras Bhalla,34290.63
CUST-00270,Brinda Lad,34242.71
CUST-00186,Ansh Deo,34229.5
CUST-00022,Raagini Bahri,34095.72
CUST-00155,Balendra Roy,33998.92
CUST-00052,Chakrika Gour,33988.02
CUST-00163,Oni Gola,33959.42
CUST-00258,Tanay Bansal,33869.09
CUST-00214,Yachana Aggarwal,33655.32
CUST-00067,Abhiram Karpe,33613.22
CUST-00374,Mugdha Gaba,33547.6
CUST-00171,Raagini Borah,33366.08
CUST-00004,Om Samra,33312.14
CUST-00485,Caleb Trivedi,33249.75
CUST-00373,Christopher Chad,32052.47
CUST-00228,Harinakshi Tailor,31824.08
CUST-00213,Ikbal Bedi,31666.38
CUST-00091,Niharika Bhardwaj,31617.2
CUST-00138,Sai Dugal,31559.47
CUST-00059,Lipika Varty,31417.67
CUST-00234,Neha Purohit,31366.25
CUST-00169,Atharv Baria,31316.77
CUST-00036,Aayush Maharaj,31078.11
CUST-00365,Ayush Zacharia,30905.22
CUST-00165,Praneel Shroff,30777.12
CUST-00113,Ati Sundaram,30724.11
CUST-00190,Henry Lad,30612.8
CUST-00482,Gauri Parmer,30524.62
CUST-00459,Damyanti Som,30404.43
CUST-00269,Ikshita Sharma,30345.85
CUST-00218,Ekavir Mukherjee,30096.34
CUST-00116,Pavani Swaminathan,30056.39
CUST-00112,Logan Manne,29940.85
CUST-00050,Xalak Khosla,29680.02
CUST-00396,Samarth Johal,29469.69
CUST-00425,Anamika Uppal,29250.73
CUST-00284,Ekaraj Sibal,29129.35
CUST-00457,Watika Kota,28874.87
CUST-00160,Owen Upadhyay,28863.97
CUST-00488,Kai Johal,28850.91
CUST-00180,Ekaraj Tripathi,28707.0
CUST-00340,Charvi Srinivasan,28648.78
CUST-00020,Mitali Bhargava,28521.35
CUST-00376,Jairaj Goel,28519.23
CUST-00296,Warinder Shroff,28356.91
CUST-00362,Lucky Gokhale,28293.26
CUST-00092,Falak Gopal,28287.19
CUST-00393,Vamakshi Gupta,28263.57
CUST-00014,Aarna Prashad,28244.67
CUST-00303,Dev Ganguly,28081.49
CUST-00259,Oeshi Wali,28042.94
CUST-00387,Sai Dube,27896.16
CUST-00012,Mohammed Sankar,27864.72
CUST-00328,Chakradev Madan,27850.28
CUST-00364,Urmi Wali,27848.22
CUST-00078,Hiral Contractor,27818.14
CUST-00404,Pushti Raghavan,27775.71
CUST-00254,Fitan Khanna,27739.83
CUST-00368,Yochana Kari,27721.04
CUST-00458,Onveer Banerjee,27697.22
CUST-00276,Vasana Nayak,27584.28
CUST-00080,Dominic Sankaran,27578.93
CUST-00237,Dalaja Parsa,27571.57
CUST-00125,Rachita Gola,27551.27
CUST-00245,Rohan Krishnamurthy,27495.09
CUST-00338,Charan Sidhu,27475.57
CUST-00260,Jhalak Hans,27393.99
CUST-00497,Harish Nazareth,26911.3
