sales_month,customer_id,customer_name,revenue
2020-01,CUST-00492,Indrajit Setty,26688.94
2020-01,CUST-00129,Vanya Thaman,25867.93
2020-01,CUST-00436,Inaya Barad,21879.54
2020-01,CUST-00277,Dhruv Bose,21239.03
2020-01,CUST-00062,Unnati Natt,15672.06
2020-01,CUST-00326,Jagat Pandey,15520.07
2020-01,CUST-00381,Azaan Sehgal,15499.49
2020-01,CUST-00091,Niharika Bhardwaj,11730.55
2020-01,CUST-00386,Netra Hayre,11426.57
2020-01,CUST-00373,Christopher Chad,9369.28
2020-02,CUST-00276,Vasana Nayak,27584.28
2020-02,CUST-00206,Gaurika Dhar,21953.18
2020-02,CUST-00447,Pavani Nagy,19370.77
2020-02,CUST-00108,Avni Nayak,18901.26
2020-02,CUST-00323,Wazir Lal,13728.31
2020-02,CUST-00458,Onveer Banerjee,11444.7
2020-02,CUST-00280,Varenya Sabharwal,9030.44
2020-02,CUST-00431,Daksh Sarin,8088.56
2020-02,CUST-00149,Yashawini Swaminathan,7567.62
2020-02,CUST-00333,Lekha Aggarwal,7173.42
2020-03,CUST-00450,Advik Singhal,32181.7
2020-03,CUST-00060,Tanvi Wason,24258.62
2020-03,CUST-00226,Farhan Sami,19009.9
2020-03,CUST-00070,Ekaraj Sathe,18065.19
2020-03,CUST-00347,Faras Sampath,17825.81
2020-03,CUST-00298,Baljiwan Chaudhuri,16051.88
2020-03,CUST-00165,Praneel Shroff,13090.63
2020-03,CUST-00020,Mitali Bhargava,11659.64
2020-03,CUST-00007,Chameli Bath,1709.7
2020-03,CUST-00377,David Dugal,521.1
2020-04,CUST-00139,Maya Chauhan,36579.96
2020-04,CUST-00349,Upma Amble,21776.7
2020-04,CUST-00236,Neelima Bhardwaj,15613.29
2020-04,CUST-00029,Bhavna Sidhu,14768.47
2020-04,CUST-00202,Abdul Murty,11149.48
2020-04,CUST-00434,Aditya Sheth,9788.07
2020-04,CUST-00358,Raghav Kumar,9783.56
2020-04,CUST-00067,Abhiram Karpe,7903.39
2020-04,CUST-00128,Jairaj Pandey,6504.79
2020-04,CUST-00429,Janya Doctor,6366.01
2020-05,CUST-00384,Harsh Deo,30522.17
2020-05,CUST-00419,Abhiram Apte,26444.76
2020-05,CUST-00272,Mitali Srinivasan,21663.89
2020-05,CUST-00053,Teerth Narasimhan,18519.72
2020-05,CUST-00247,Ayaan Dave,16778.38
2020-05,CUST-00228,Harinakshi Tailor,15513.77
2020-05,CUST-00043,Ishaan Ramachandran,14349.25
2020-05,CUST-00129,Vanya Thaman,14124.38
2020-05,CUST-00257,Ayushman Nigam,10476.3
2020-05,CUST-00477,Omaja Dugar,9849.04
2020-06,CUST-00289,Aadhya Sridhar,17726.8
2020-06,CUST-00377,David Dugal,16668.06
2020-06,CUST-00170,Tanay Tripathi,14687.35
2020-06,CUST-00147,Tripti Dayal,14142.13
2020-06,CUST-00328,Chakradev Madan,13527.73
2020-06,CUST-00006,Victor Vora,12836.9
2020-06,CUST-00489,Wazir Saha,10857.0
2020-06,CUST-00384,Harsh Deo,7669.05
2020-06,CUST-00306,Watika Sodhi,5736.62
2020-06,CUST-00252,Pratyush Sandhu,5673.58
2020-07,CUST-00181,Aradhana Bala,20542.33
2020-07,CUST-00045,Abha Dhingra,14939.87
2020-07,CUST-00368,Yochana Kari,13513.43
2020-07,CUST-00113,Ati Sundaram,12589.7
2020-07,CUST-00231,Charles Soni,11265.58
2020-07,CUST-00173,Kabir Krishna,11254.69
2020-07,CUST-00431,Daksh Sarin,10987.16
2020-07,CUST-00220,Falan Kadakia,10808.52
2020-07,CUST-00391,Samarth Om,10434.72
2020-07,CUST-00395,Darika Zacharia,8717.91
2020-08,CUST-00431,Daksh Sarin,22420.95
2020-08,CUST-00310,Varsha Devan,7177.29
2020-08,CUST-00415,Triya Krishna,6599.33
2020-08,CUST-00476,Aayush Borra,5411.44
2020-08,CUST-00399,Rachana Pal,4398.89
2020-08,CUST-00173,Kabir Krishna,1672.63
2020-08,CUST-00169,Atharv Baria,944.37
2020-09,CUST-00149,Yashawini Swaminathan,31726.7
2020-09,CUST-00177,Aadi Nigam,18061.09
2020-09,CUST-00364,Urmi Wali,14564.76
2020-09,CUST-00033,Chatura Balay,13041.91
2020-09,CUST-00233,Karan Mandal,12429.17
2020-09,CUST-00491,Maya Wali,11582.66
