customer_id,customer_name,lifetime_value,value_rank,dense_value_rank,row_number
CUST-00261,Yatin Dhaliwal,125061.2,1,1,1
CUST-00293,Liam Chander,116091.71,2,2,2
CUST-00143,Dalbir Hegde,115815.77,3,3,3
CUST-00124,Reva Dugar,115179.68,4,4,4
CUST-00280,Varenya Sabharwal,100300.41,5,5,5
CUST-00139,Maya Chauhan,99861.51,6,6,6
CUST-00427,Lakshit Ramesh,90579.34,7,7,7
CUST-00499,Reva Soman,89413.31,8,8,8
CUST-00431,Daksh Sarin,82627.95,9,9,9
CUST-00350,Priya Modi,82533.49,10,10,10
CUST-00369,Simon Yadav,81720.29,11,11,11
CUST-00227,Yahvi Chatterjee,80802.92,12,12,12
CUST-00156,Indira Ben,77320.72,13,13,13
CUST-00009,Zayan Khosla,77047.01,14,14,14
CUST-00363,Krisha Sridhar,76423.88,15,15,15
CUST-00045,Abha Dhingra,75798.2,16,16,16
CUST-00079,Triya Salvi,71918.53,17,17,17
CUST-00493,Shaurya Dhaliwal,70319.41,18,18,18
CUST-00119,Ekaraj Contractor,69880.38,19,19,19
CUST-00384,Harsh Deo,69878.04,20,20,20
CUST-00066,Noah Dora,68789.93,21,21,21
CUST-00172,Lakshmi Wason,67395.93,22,22,22
CUST-00211,Devansh Das,66935.11,23,23,23
CUST-00408,Hamsini Joshi,66884.12,24,24,24
CUST-00219,Chasmum Khanna,66869.8,25,25,25
CUST-00015,Unni Gill,65970.65,26,26,26
CUST-00414,George Chaudhry,65578.08,27,27,27
CUST-00058,Nicholas Brahmbhatt,65539.76,28,28,28
CUST-00334,Mahika Swaminathan,65404.64,29,29,29
CUST-00149,Yashawini Swaminathan,65258.0,30,30,30
CUST-00367,Barkha Bora,65171.2,31,31,31
CUST-00447,Pavani Nagy,64562.35,32,32,32
CUST-00309,Amol Om,64418.84,33,33,33
CUST-00097,Ansh Parmer,64050.11,34,34,34
CUST-00054,Chandresh Kurian,63661.65,35,35,35
CUST-00029,Bhavna Sidhu,63622.35,36,36,36
CUST-00342,Lucky Menon,63406.93,37,37,37
CUST-00120,Sara Brar,62468.04,38,38,38
CUST-00192,Zashil Patil,62386.41,39,39,39
CUST-00026,Eiravati Vohra,61538.07,40,40,40
CUST-00194,Chakradev Samra,61190.44,41,41,41
CUST-00118,Lila Mishra,61116.66,42,42,42
CUST-00264,Fiyaz Srivastava,60829.4,43,43,43
CUST-00405,Gaurang D’Alia,60084.03,44,44,44
CUST-00333,Lekha Aggarwal,59252.98,45,45,45
CUST-00127,Aadhya Hora,59234.03,46,46,46
CUST-00279,Om Handa,58771.99,47,47,47
CUST-00226,Farhan Sami,58688.96,48,48,48
CUST-00272,Mitali Srinivasan,58649.16,49,49,49
CUST-00348,Waida Bahri,58237.61,50,50,50
CUST-00434,Aditya Sheth,58113.49,51,51,51
CUST-00267,Yochana Ahluwalia,57788.25,52,52,52
CUST-00441,Zinal Reddy,57711.18,53,53,53
CUST-00166,Anmol Sarkar,57266.72,54,54,54
CUST-00278,Ekaja Chaudhary,56895.47,55,55,55
CUST-00492,Indrajit Setty,56381.99,56,56,56
CUST-00105,Shravya Palan,55685.24,57,57,57
CUST-00390,Parth Pandit,55426.17,58,58,58
CUST-00359,Januja Samra,55181.98,59,59,59
CUST-00016,Lucky Deo,55141.95,60,60,60
CUST-00329,Jagat Srinivas,54900.24,61,61,61
CUST-00177,Aadi Nigam,54021.33,62,62,62
CUST-00162,Garima Bhagat,54005.84,63,63,63
CUST-00300,Aryan Vohra,53315.35,64,64,64
CUST-00419,Abhiram Apte,53162.1,65,65,65
CUST-00239,Mason Ramakrishnan,53161.4,66,66,66
CUST-00126,Isha Sastry,52938.28,67,67,67
CUST-00040,Zayyan Krishna,52882.09,68,68,68
CUST-00353,Wishi Mangal,52495.62,69,69,69
CUST-00233,Karan Mandal,52315.68,70,70,70
CUST-00100,Triveni Varma,51474.55,71,71,71
CUST-00184,Gaurangi Rau,51380.26,72,72,72
CUST-00409,Krishna Dara,51187.38,73,73,73
CUST-00128,Jairaj Pandey,51108.91,74,74,74
CUST-00189,Ishita Dhaliwal,51046.28,75,75,75
CUST-00354,Reyansh Tripathi,50795.83,76,76,76
CUST-00188,Kai Karan,50780.91,77,77,77
CUST-00289,Aadhya Sridhar,49852.89,78,78,78
CUST-00323,Wazir Lal,49523.11,79,79,79
CUST-00436,Inaya Barad,49466.2,80,80,80
CUST-00135,Neelima Andra,49288.69,81,81,81
CUST-00325,Ati Madan,49105.74,82,82,82
CUST-00437,Girindra Rao,49073.6,83,83,83
CUST-00326,Jagat Pandey,48689.13,84,84,84
CUST-00450,Advik Singhal,48589.17,85,85,85
CUST-00417,Megha Barad,48338.96,86,86,86
CUST-00443,Champak Ganesan,48153.5,87,87,87
CUST-00159,Rishi Bains,47878.14,88,88,88
CUST-00152,Abhimanyu Reddy,47467.14,89,89,89
CUST-00081,Balvan Hegde,47463.49,90,90,90
CUST-00182,Jeevika Mander,47343.68,91,91,91
CUST-00064,Sai Lanka,47243.77,92,92,92
CUST-00489,Wazir Saha,46436.54,93,93,93
CUST-00454,Ria Shanker,46413.4,94,94,94
CUST-00299,Warinder Suresh,46409.19,95,95,95
CUST-00028,Tanvi Chander,46079.88,96,96,96
CUST-00181,Aradhana Bala,45702.64,97,97,97
CUST-00093,Mason Sarraf,45644.51,98,98,98
CUST-00255,Rushil Nagi,45514.79,99,99,99
CUST-00413,Vasatika Gara,45325.38,100,100,100
CUST-00060,Tanvi Wason,44804.06,101,101,101
CUST-00479,Ridhi Sibal,44794.89,102,102,102
CUST-00070,Ekaraj Sathe,44736.51,103,103,103
CUST-00095,Bhavini Kalla,44202.2,104,104,104
