customer_id,customer_name,total_spend,spend_segment
CUST-00261,Yatin Dhaliwal,125061.2,High
CUST-00293,Liam Chander,116091.71,High
CUST-00143,Dalbir Hegde,115815.77,High
CUST-00124,Reva Dugar,115179.68,High
CUST-00280,Varenya Sabharwal,100300.41,High
CUST-00139,Maya Chauhan,99861.51,High
CUST-00427,Lakshit Ramesh,90579.34,High
CUST-00499,Reva Soman,89413.31,High
CUST-00431,Daksh Sarin,82627.95,High
CUST-00350,Priya Modi,82533.49,High
CUST-00369,Simon Yadav,81720.29,High
CUST-00227,Yahvi Chatterjee,80802.92,High
CUST-00156,Indira Ben,77320.72,High
CUST-00009,Zayan Khosla,77047.01,High
CUST-00363,Krisha Sridhar,76423.88,High
CUST-00045,Abha Dhingra,75798.2,High
CUST-00079,Triya Salvi,71918.53,High
CUST-00493,Shaurya Dhaliwal,70319.41,High
CUST-00119,Ekaraj Contractor,69880.38,High
CUST-00384,Harsh Deo,69878.04,High
CUST-00066,Noah Dora,68789.93,High
CUST-00172,Lakshmi Wason,67395.93,High
CUST-00211,Devansh Das,66935.11,High
CUST-00408,Hamsini Joshi,66884.12,High
CUST-00219,Chasmum Khanna,66869.8,High
CUST-00015,Unni Gill,65970.65,High
CUST-00414,George Chaudhry,65578.08,High
CUST-00058,Nicholas Brahmbhatt,65539.76,High
CUST-00334,Mahika Swaminathan,65404.64,High
CUST-00149,Yashawini Swaminathan,65258.0,High
CUST-00367,Barkha Bora,65171.2,High
CUST-00447,Pavani Nagy,64562.35,High
CUST-00309,Amol Om,64418.84,High
CUST-00097,Ansh Parmer,64050.11,High
CUST-00054,Chandresh Kurian,63661.65,High
CUST-00029,Bhavna Sidhu,63622.35,High
CUST-00342,Lucky Menon,63406.93,High
CUST-00120,Sara Brar,62468.04,High
CUST-00192,Zashil Patil,62386.41,High
CUST-00026,Eiravati Vohra,61538.07,High
CUST-00194,Chakradev Samra,61190.44,High
CUST-00118,Lila Mishra,61116.66,High
CUST-00264,Fiyaz Srivastava,60829.4,High
CUST-00405,Gaurang D’Alia,60084.03,High
CUST-00333,Lekha Aggarwal,59252.98,High
CUST-00127,Aadhya Hora,59234.03,High
CUST-00279,Om Handa,58771.99,High
CUST-00226,Farhan Sami,58688.96,High
CUST-00272,Mitali Srinivasan,58649.16,High
CUST-00348,Waida Bahri,58237.61,High
CUST-00434,Aditya Sheth,58113.49,High
CUST-00267,Yochana Ahluwalia,57788.25,High
CUST-00441,Zinal Reddy,57711.18,High
CUST-00166,Anmol Sarkar,57266.72,High
CUST-00278,Ekaja Chaudhary,56895.47,High
CUST-00492,Indrajit Setty,56381.99,High
CUST-00105,Shravya Palan,55685.24,High
CUST-00390,Parth Pandit,55426.17,High
CUST-00359,Januja Samra,55181.98,High
CUST-00016,Lucky Deo,55141.95,High
CUST-00329,Jagat Srinivas,54900.24,High
CUST-00177,Aadi Nigam,54021.33,High
CUST-00162,Garima Bhagat,54005.84,High
CUST-00300,Aryan Vohra,53315.35,High
CUST-00419,Abhiram Apte,53162.1,High
CUST-00239,Mason Ramakrishnan,53161.4,High
CUST-00126,Isha Sastry,52938.28,High
CUST-00040,Zayyan Krishna,52882.09,High
CUST-00353,Wishi Mangal,52495.62,High
CUST-00233,Karan Mandal,52315.68,High
CUST-00100,Triveni Varma,51474.55,High
CUST-00184,Gaurangi Rau,51380.26,High
CUST-00409,Krishna Dara,51187.38,High
CUST-00128,Jairaj Pandey,51108.91,High
CUST-00189,Ishita Dhaliwal,51046.28,High
CUST-00354,Reyansh Tripathi,50795.83,High
CUST-00188,Kai Karan,50780.91,High
CUST-00289,Aadhya Sridhar,49852.89,Medium
CUST-00323,Wazir Lal,49523.11,Medium
CUST-00436,Inaya Barad,49466.2,Medium
CUST-00135,Neelima Andra,49288.69,Medium
CUST-00325,Ati Madan,49105.74,Medium
CUST-00437,Girindra Rao,49073.6,Medium
CUST-00326,Jagat Pandey,48689.13,Medium
CUST-00450,Advik Singhal,48589.17,Medium
CUST-00417,Megha Barad,48338.96,Medium
CUST-00443,Champak Ganesan,48153.5,Medium
CUST-00159,Rishi Bains,47878.14,Medium
CUST-00152,Abhimanyu Reddy,47467.14,Medium
CUST-00081,Balvan Hegde,47463.49,Medium
CUST-00182,Jeevika Mander,47343.68,Medium
CUST-00064,Sai Lanka,47243.77,Medium
CUST-00489,Wazir Saha,46436.54,Medium
CUST-00454,Ria Shanker,46413.4,Medium
CUST-00299,Warinder Suresh,46409.19,Medium
CUST-00028,Tanvi Chander,46079.88,Medium
CUST-00181,Aradhana Bala,45702.64,Medium
CUST-00093,Mason Sarraf,45644.51,Medium
CUST-00255,Rushil Nagi,45514.79,Medium
CUST-00413,Vasatika Gara,45325.38,Medium
CUST-00060,Tanvi Wason,44804.06,Medium
CUST-00479,Ridhi Sibal,44794.89,Medium
CUST-00070,Ekaraj Sathe,44736.51,Medium
CUST-00095,Bhavini Kalla,44202.2,Medium
CUST-00044,Yadavi Bahl,44012.65,Medium
CUST-00449,Bakhshi Khanna,43934.25,Medium
CUST-00017,Leena Sampath,43850.02,Medium
CUST-00136,Omkaar More,43802.91,Medium
CUST-00444,Jackson Batta,43516.79,Medium
CUST-00048,Bhavna Srinivasan,42994.1,Medium
CUST-00439,Pahal Trivedi,42723.88,Medium
CUST-00430,Faraj Saraf,42617.22,Medium
CUST-00129,Vanya Thaman,42263.44,Medium
CUST-00209,Umang Shetty,41902.69,Medium
CUST-00046,Siya Desai,41783.0,Medium
CUST-00412,Vedika Malhotra,41722.31,Medium
CUST-00063,Yatin Bumb,41531.31,Medium
CUST-00217,Manthan Shere,41326.91,Medium
CUST-00395,Darika Zacharia,41288.68,Medium
CUST-00312,Vedhika Som,41206.05,Medium
CUST-00298,Baljiwan Chaudhuri,41063.35,Medium
CUST-00030,Champak Memon,41019.61,Medium
CUST-00426,Chaitanya Singhal,40962.75,Medium
CUST-00174,Harita Sandal,40940.91,Medium
CUST-00069,Mitali Reddy,40896.55,Medium
CUST-00452,Sara Vasa,40883.56,Medium
CUST-00111,Raagini Upadhyay,40829.59,Medium
CUST-00077,Jasmit Reddy,40552.42,Medium
CUST-00244,Ridhi Mistry,40450.41,Medium
CUST-00465,Henry Som,40397.88,Medium
CUST-00277,Dhruv Bose,40285.79,Medium
CUST-00347,Faras Sampath,40247.99,Medium
CUST-00005,Harrison Chada,40197.61,Medium
CUST-00344,Gaurika Bhatia,40146.11,Medium
CUST-00494,Shravya Patil,40007.11,Medium
CUST-00242,Geetika Keer,39988.52,Medium
CUST-00352,Chanakya Rastogi,39968.92,Medium
CUST-00206,Gaurika Dhar,39671.69,Medium
CUST-00145,Kalpit Mitra,39648.56,Medium
CUST-00084,Dominic Dutt,39595.89,Medium
CUST-00370,Daniel Ravel,38825.99,Medium
CUST-00221,Chanchal Bhat,38814.49,Medium
CUST-00500,Tarak Pall,38777.29,Medium
CUST-00025,Bachittar Ben,38530.87,Medium
CUST-00033,Chatura Balay,38154.6,Medium
CUST-00398,Ucchal Kamdar,38148.51,Medium
CUST-00225,Mohini Apte,37414.32,Medium
CUST-00215,Hemani Gokhale,37099.32,Medium
CUST-00381,Azaan Sehgal,36848.27,Medium
CUST-00247,Ayaan Dave,36799.88,Medium
CUST-00415,Triya Krishna,36625.23,Medium
CUST-00385,Eesha Kibe,36583.34,Medium
CUST-00358,Raghav Kumar,36544.41,Medium
CUST-00432,Nimrat Krishna,36174.31,Medium
CUST-00038,Oliver Agate,35948.89,Medium
CUST-00074,Tanvi Peri,35802.47,Medium
CUST-00360,Tanvi Bath,35621.21,Medium
CUST-00313,Ojas Seth,35429.15,Medium
CUST-00195,Gaurav Narasimhan,34771.65,Medium
CUST-00282,Yatin Chandra,34739.92,Medium
CUST-00075,Advik Konda,34649.36,Medium
CUST-00428,Harrison Kashyap,34629.91,Medium
CUST-00306,Watika Sodhi,34610.32,Medium
CUST-00307,Megha Balan,34592.59,Medium
CUST-00153,Ekalinga Bala,34303.56,Medium
CUST-00411,Faras Bhalla,34290.63,Medium
CUST-00270,Brinda Lad,34242.71,Medium
CUST-00186,Ansh Deo,34229.5,Medium
CUST-00022,Raagini Bahri,34095.72,Medium
CUST-00155,Balendra Roy,33998.92,Medium
CUST-00052,Chakrika Gour,33988.02,Medium
CUST-00163,Oni Gola,33959.42,Medium
CUST-00258,Tanay Bansal,33869.09,Medium
CUST-00214,Yachana Aggarwal,33655.32,Medium
CUST-00067,Abhiram Karpe,33613.22,Medium
CUST-00374,Mugdha Gaba,33547.6,Medium
CUST-00171,Raagini Borah,33366.08,Medium
CUST-00004,Om Samra,33312.14,Medium
CUST-00485,Caleb Trivedi,33249.75,Medium
CUST-00373,Christopher Chad,32052.47,Medium
CUST-00228,Harinakshi Tailor,31824.08,Medium
CUST-00213,Ikbal Bedi,31666.38,Medium
CUST-00091,Niharika Bhardwaj,31617.2,Medium
CUST-00138,Sai Dugal,31559.47,Medium
CUST-00059,Lipika Varty,31417.67,Medium
CUST-00234,Neha Purohit,31366.25,Medium
CUST-00169,Atharv Baria,31316.77,Medium
CUST-00036,Aayush Maharaj,31078.11,Medium
CUST-00365,Ayush Zacharia,30905.22,Medium
CUST-00165,Praneel Shroff,30777.12,Medium
CUST-00113,Ati Sundaram,30724.11,Medium
CUST-00190,Henry Lad,30612.8,Medium
CUST-00482,Gauri Parmer,30524.62,Medium
CUST-00459,Damyanti Som,30404.43,Medium
CUST-00269,Ikshita Sharma,30345.85,Medium
CUST-00218,Ekavir Mukherjee,30096.34,Medium
CUST-00116,Pavani Swaminathan,30056.39,Medium
CUST-00112,Logan Manne,29940.85,Medium
CUST-00050,Xalak Khosla,29680.02,Medium
CUST-00396,Samarth Johal,29469.69,Medium
CUST-00425,Anamika Uppal,29250.73,Medium
CUST-00284,Ekaraj Sibal,29129.35,Medium
CUST-00457,Watika Kota,28874.87,Medium
CUST-00160,Owen Upadhyay,28863.97,Medium
CUST-00488,Kai Johal,28850.91,Medium
CUST-00180,Ekaraj Tripathi,28707.0,Medium
CUST-00340,Charvi Srinivasan,28648.78,Medium
CUST-00020,Mitali Bhargava,28521.35,Medium
CUST-00376,Jairaj Goel,28519.23,Medium
CUST-00296,Warinder Shroff,28356.91,Medium
CUST-00362,Lucky Gokhale,28293.26,Medium
CUST-00092,Falak Gopal,28287.19,Medium
CUST-00393,Vamakshi Gupta,28263.57,Medium
CUST-00014,Aarna Prashad,28244.67,Medium
CUST-00303,Dev Ganguly,28081.49,Medium
CUST-00259,Oeshi Wali,28042.94,Medium
CUST-00387,Sai Dube,27896.16,Medium
CUST-00012,Mohammed Sankar,27864.72,Medium
CUST-00328,Chakradev Madan,27850.28,Medium
CUST-00364,Urmi Wali,27848.22,Medium
CUST-00078,Hiral Contractor,27818.14,Medium
CUST-00404,Pushti Raghavan,27775.71,Medium
CUST-00254,Fitan Khanna,27739.83,Medium
CUST-00368,Yochana Kari,27721.04,Medium
CUST-00458,Onveer Banerjee,27697.22,Medium
CUST-00276,Vasana Nayak,27584.28,Medium
CUST-00080,Dominic Sankaran,27578.93,Medium
CUST-00237,Dalaja Parsa,27571.57,Medium
CUST-00125,Rachita Gola,27551.27,Medium
CUST-00245,Rohan Krishnamurthy,27495.09,Medium
CUST-00338,Charan Sidhu,27475.57,Medium
CUST-00260,Jhalak Hans,27393.99,Medium
CUST-00497,Harish Nazareth,26911.3,Medium
CUST-00150,Megha Chaudhary,26807.51,Medium
CUST-00041,Pallavi Dayal,26682.24,Medium
CUST-00372,Gautami Boase,26612.64,Medium
CUST-00467,Bimala Issac,26443.91,Medium
CUST-00291,Gautami Sodhi,26386.14,Medium
CUST-00473,Anita Solanki,26310.07,Medium
CUST-00375,Sarthak Ravi,26273.38,Medium
CUST-00380,Shravya Jaggi,26152.95,Medium
CUST-00236,Neelima Bhardwaj,26016.34,Medium
CUST-00229,Fitan Sarkar,25791.46,Medium
CUST-00249,Zashil Desai,25735.42,Medium
CUST-00336,Ishani Deshmukh,25595.54,Medium
CUST-00158,Orinder Purohit,25487.03,Medium
CUST-00222,Utkarsh Bhasin,25175.91,Medium
CUST-00318,Anusha Kalla,25174.88,Medium
CUST-00071,Veer Sharaf,25114.67,Medium
CUST-00157,Irya Narayan,25112.93,Medium
CUST-00399,Rachana Pal,25027.87,Medium
CUST-00386,Netra Hayre,24925.54,Medium
CUST-00477,Omaja Dugar,24873.15,Medium
CUST-00154,Shaurya Raja,24816.67,Medium
CUST-00210,Warda Yadav,24776.32,Medium
CUST-00349,Upma Amble,24744.89,Medium
CUST-00107,Ronith Nair,24494.59,Medium
CUST-00320,Umang Bhardwaj,24431.77,Medium
CUST-00480,Radhika Hayre,24344.67,Medium
CUST-00490,Oliver Chad,24298.48,Medium
CUST-00024,Harinakshi Khurana,24226.45,Medium
CUST-00382,Gavin Sanghvi,24150.48,Medium
CUST-00392,Orinder Panchal,24134.0,Medium
CUST-00183,Timothy Nigam,24119.81,Medium
CUST-00170,Tanay Tripathi,24101.96,Medium
