customer_id,customer_name,lifetime_value,value_segment
CUST-00261,Yatin Dhaliwal,125061.2,Platinum
CUST-00293,Liam Chander,116091.71,Platinum
CUST-00143,Dalbir Hegde,115815.77,Platinum
CUST-00124,Reva Dugar,115179.68,Platinum
CUST-00280,Varenya Sabharwal,100300.41,Platinum
CUST-00139,Maya Chauhan,99861.51,Platinum
CUST-00427,Lakshit Ramesh,90579.34,Platinum
CUST-00499,Reva Soman,89413.31,Platinum
CUST-00431,Daksh Sarin,82627.95,Platinum
CUST-00350,Priya Modi,82533.49,Platinum
CUST-00369,Simon Yadav,81720.29,Platinum
CUST-00227,Yahvi Chatterjee,80802.92,Platinum
CUST-00156,Indira Ben,77320.72,Platinum
CUST-00009,Zayan Khosla,77047.01,Platinum
CUST-00363,Krisha Sridhar,76423.88,Platinum
CUST-00045,Abha Dhingra,75798.2,Platinum
CUST-00079,Triya Salvi,71918.53,Platinum
CUST-00493,Shaurya Dhaliwal,70319.41,Platinum
CUST-00119,Ekaraj Contractor,69880.38,Platinum
CUST-00384,Harsh Deo,69878.04,Platinum
CUST-00066,Noah Dora,68789.93,Platinum
CUST-00172,Lakshmi Wason,67395.93,Platinum
CUST-00211,Devansh Das,66935.11,Platinum
CUST-00408,Hamsini Joshi,66884.12,Platinum
CUST-00219,Chasmum Khanna,66869.8,Platinum
CUST-00015,Unni Gill,65970.65,Platinum
CUST-00414,George Chaudhry,65578.08,Platinum
CUST-00058,Nicholas Brahmbhatt,65539.76,Platinum
CUST-00334,Mahika Swaminathan,65404.64,Platinum
CUST-00149,Yashawini Swaminathan,65258.0,Platinum
CUST-00367,Barkha Bora,65171.2,Platinum
CUST-00447,Pavani Nagy,64562.35,Platinum
CUST-00309,Amol Om,64418.84,Platinum
CUST-00097,Ansh Parmer,64050.11,Platinum
CUST-00054,Chandresh Kurian,63661.65,Platinum
CUST-00029,Bhavna Sidhu,63622.35,Platinum
CUST-00342,Lucky Menon,63406.93,Platinum
CUST-00120,Sara Brar,62468.04,Platinum
CUST-00192,Zashil Patil,62386.41,Platinum
CUST-00026,Eiravati Vohra,61538.07,Platinum
CUST-00194,Chakradev Samra,61190.44,Platinum
CUST-00118,Lila Mishra,61116.66,Platinum
CUST-00264,Fiyaz Srivastava,60829.4,Platinum
CUST-00405,Gaurang D’Alia,60084.03,Platinum
CUST-00333,Lekha Aggarwal,59252.98,Platinum
CUST-00127,Aadhya Hora,59234.03,Platinum
CUST-00279,Om Handa,58771.99,Platinum
CUST-00226,Farhan Sami,58688.96,Platinum
CUST-00272,Mitali Srinivasan,58649.16,Platinum
CUST-00348,Waida Bahri,58237.61,Platinum
CUST-00434,Aditya Sheth,58113.49,Platinum
CUST-00267,Yochana Ahluwalia,57788.25,Platinum
CUST-00441,Zinal Reddy,57711.18,Platinum
CUST-00166,Anmol Sarkar,57266.72,Platinum
CUST-00278,Ekaja Chaudhary,56895.47,Platinum
CUST-00492,Indrajit Setty,56381.99,Platinum
CUST-00105,Shravya Palan,55685.24,Platinum
CUST-00390,Parth Pandit,55426.17,Platinum
CUST-00359,Januja Samra,55181.98,Platinum
CUST-00016,Lucky Deo,55141.95,Platinum
CUST-00329,Jagat Srinivas,54900.24,Platinum
CUST-00177,Aadi Nigam,54021.33,Platinum
CUST-00162,Garima Bhagat,54005.84,Platinum
CUST-00300,Aryan Vohra,53315.35,Platinum
CUST-00419,Abhiram Apte,53162.1,Platinum
CUST-00239,Mason Ramakrishnan,53161.4,Platinum
CUST-00126,Isha Sastry,52938.28,Platinum
CUST-00040,Zayyan Krishna,52882.09,Platinum
CUST-00353,Wishi Mangal,52495.62,Platinum
CUST-00233,Karan Mandal,52315.68,Platinum
CUST-00100,Triveni Varma,51474.55,Platinum
CUST-00184,Gaurangi Rau,51380.26,Platinum
CUST-00409,Krishna Dara,51187.38,Platinum
CUST-00128,Jairaj Pandey,51108.91,Platinum
CUST-00189,Ishita Dhaliwal,51046.28,Platinum
CUST-00354,Reyansh Tripathi,50795.83,Platinum
CUST-00188,Kai Karan,50780.91,Platinum
CUST-00289,Aadhya Sridhar,49852.89,Platinum
CUST-00323,Wazir Lal,49523.11,Platinum
CUST-00436,Inaya Barad,49466.2,Platinum
CUST-00135,Neelima Andra,49288.69,Platinum
CUST-00325,Ati Madan,49105.74,Platinum
CUST-00437,Girindra Rao,49073.6,Platinum
CUST-00326,Jagat Pandey,48689.13,Platinum
CUST-00450,Advik Singhal,48589.17,Platinum
CUST-00417,Megha Barad,48338.96,Platinum
CUST-00443,Champak Ganesan,48153.5,Platinum
CUST-00159,Rishi Bains,47878.14,Platinum
CUST-00152,Abhimanyu Reddy,47467.14,Platinum
CUST-00081,Balvan Hegde,47463.49,Platinum
CUST-00182,Jeevika Mander,47343.68,Platinum
CUST-00064,Sai Lanka,47243.77,Platinum
CUST-00489,Wazir Saha,46436.54,Platinum
CUST-00454,Ria Shanker,46413.4,Platinum
CUST-00299,Warinder Suresh,46409.19,Platinum
CUST-00028,Tanvi Chander,46079.88,Platinum
CUST-00181,Aradhana Bala,45702.64,Platinum
CUST-00093,Mason Sarraf,45644.51,Platinum
CUST-00255,Rushil Nagi,45514.79,Platinum
CUST-00413,Vasatika Gara,45325.38,Platinum
CUST-00060,Tanvi Wason,44804.06,Platinum
CUST-00479,Ridhi Sibal,44794.89,Platinum
CUST-00070,Ekaraj Sathe,44736.51,Platinum
CUST-00095,Bhavini Kalla,44202.2,Platinum
CUST-00044,Yadavi Bahl,44012.65,Platinum
CUST-00449,Bakhshi Khanna,43934.25,Platinum
CUST-00017,Leena Sampath,43850.02,Platinum
CUST-00136,Omkaar More,43802.91,Platinum
CUST-00444,Jackson Batta,43516.79,Platinum
CUST-00048,Bhavna Srinivasan,42994.1,Platinum
CUST-00439,Pahal Trivedi,42723.88,Platinum
CUST-00430,Faraj Saraf,42617.22,Platinum
