customer_id,customer_name,customer_type,recency_days,frequency,monetary,final_segment,rfm_score
CUST-00493,Shaurya Dhaliwal,REGULAR,0.0,4,70319.41,Loyal,14
CUST-00309,Amol Om,VIP,0.0,4,64418.84,Loyal,14
CUST-00097,Ansh Parmer,REGULAR,0.0,4,64050.11,Loyal,14
CUST-00264,Fiyaz Srivastava,PREMIUM,0.0,4,60829.4,Loyal,14
CUST-00405,Gaurang D’Alia,PREMIUM,0.0,4,60084.03,Loyal,14
CUST-00434,Aditya Sheth,PREMIUM,0.0,4,58113.49,Loyal,14
CUST-00359,Januja Samra,VIP,0.0,4,55181.98,Loyal,14
CUST-00354,Reyansh Tripathi,PREMIUM,0.0,4,50795.83,Loyal,14
CUST-00437,Girindra Rao,VIP,0.0,4,49073.6,Loyal,14
CUST-00450,Advik Singhal,REGULAR,0.0,4,48589.17,Loyal,14
CUST-00261,Yatin Dhaliwal,REGULAR,0.0,6,125061.2,Champion,13
CUST-00293,Liam Chander,VIP,0.0,5,116091.71,Champion,13
CUST-00143,Dalbir Hegde,PREMIUM,104.0,5,115815.77,Champion,13
CUST-00124,Reva Dugar,VIP,0.0,6,115179.68,Champion,13
CUST-00139,Maya Chauhan,PREMIUM,0.0,5,99861.51,Champion,13
CUST-00427,Lakshit Ramesh,PREMIUM,0.0,5,90579.34,Champion,13
CUST-00499,Reva Soman,VIP,0.0,6,89413.31,Champion,13
CUST-00431,Daksh Sarin,VIP,0.0,6,82627.95,Champion,13
CUST-00350,Priya Modi,REGULAR,0.0,5,82533.49,Champion,13
CUST-00369,Simon Yadav,PREMIUM,0.0,6,81720.29,Champion,13
CUST-00227,Yahvi Chatterjee,PREMIUM,135.0,5,80802.92,Champion,13
CUST-00156,Indira Ben,VIP,98.0,6,77320.72,Champion,13
CUST-00009,Zayan Khosla,VIP,15.0,5,77047.01,Champion,13
CUST-00363,Krisha Sridhar,REGULAR,0.0,5,76423.88,Champion,13
CUST-00079,Triya Salvi,PREMIUM,91.0,4,71918.53,Developing,13
CUST-00119,Ekaraj Contractor,VIP,0.0,6,69880.38,Champion,13
CUST-00384,Harsh Deo,REGULAR,0.0,5,69878.04,Champion,13
CUST-00066,Noah Dora,PREMIUM,0.0,6,68789.93,Champion,13
CUST-00172,Lakshmi Wason,VIP,0.0,6,67395.93,Champion,13
CUST-00015,Unni Gill,REGULAR,0.0,6,65970.65,Champion,13
CUST-00058,Nicholas Brahmbhatt,PREMIUM,0.0,5,65539.76,Champion,13
CUST-00334,Mahika Swaminathan,VIP,55.0,8,65404.64,Champion,13
CUST-00149,Yashawini Swaminathan,REGULAR,126.0,5,65258.0,Champion,13
CUST-00367,Barkha Bora,PREMIUM,16.0,7,65171.2,Champion,13
CUST-00447,Pavani Nagy,PREMIUM,0.0,5,64562.35,Champion,13
CUST-00029,Bhavna Sidhu,REGULAR,128.0,5,63622.35,Champion,13
CUST-00192,Zashil Patil,PREMIUM,61.0,6,62386.41,Champion,13
