customer_id,customer_name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score
CUST-00493,Shaurya Dhaliwal,0.0,4,70319.41,4,5,5,14
CUST-00309,Amol Om,0.0,4,64418.84,4,5,5,14
CUST-00097,Ansh Parmer,0.0,4,64050.11,4,5,5,14
CUST-00264,Fiyaz Srivastava,0.0,4,60829.4,4,5,5,14
CUST-00405,Gaurang D’Alia,0.0,4,60084.03,4,5,5,14
CUST-00434,Aditya Sheth,0.0,4,58113.49,4,5,5,14
CUST-00359,Januja Samra,0.0,4,55181.98,4,5,5,14
CUST-00354,Reyansh Tripathi,0.0,4,50795.83,4,5,5,14
CUST-00437,Girindra Rao,0.0,4,49073.6,4,5,5,14
CUST-00450,Advik Singhal,0.0,4,48589.17,4,5,5,14
CUST-00261,Yatin Dhaliwal,0.0,6,125061.2,3,5,5,13
CUST-00293,Liam Chander,0.0,5,116091.71,3,5,5,13
CUST-00143,Dalbir Hegde,104.0,5,115815.77,3,5,5,13
CUST-00124,Reva Dugar,0.0,6,115179.68,3,5,5,13
CUST-00139,Maya Chauhan,0.0,5,99861.51,3,5,5,13
CUST-00427,Lakshit Ramesh,0.0,5,90579.34,3,5,5,13
CUST-00499,Reva Soman,0.0,6,89413.31,3,5,5,13
CUST-00431,Daksh Sarin,0.0,6,82627.95,3,5,5,13
CUST-00350,Priya Modi,0.0,5,82533.49,3,5,5,13
CUST-00369,Simon Yadav,0.0,6,81720.29,3,5,5,13
CUST-00227,Yahvi Chatterjee,135.0,5,80802.92,3,5,5,13
CUST-00156,Indira Ben,98.0,6,77320.72,3,5,5,13
CUST-00009,Zayan Khosla,15.0,5,77047.01,3,5,5,13
CUST-00363,Krisha Sridhar,0.0,5,76423.88,3,5,5,13
CUST-00079,Triya Salvi,91.0,4,71918.53,3,5,5,13
CUST-00119,Ekaraj Contractor,0.0,6,69880.38,3,5,5,13
CUST-00384,Harsh Deo,0.0,5,69878.04,3,5,5,13
CUST-00066,Noah Dora,0.0,6,68789.93,3,5,5,13
CUST-00172,Lakshmi Wason,0.0,6,67395.93,3,5,5,13
CUST-00015,Unni Gill,0.0,6,65970.65,3,5,5,13
CUST-00058,Nicholas Brahmbhatt,0.0,5,65539.76,3,5,5,13
CUST-00334,Mahika Swaminathan,55.0,8,65404.64,3,5,5,13
CUST-00149,Yashawini Swaminathan,126.0,5,65258.0,3,5,5,13
CUST-00367,Barkha Bora,16.0,7,65171.2,3,5,5,13
CUST-00447,Pavani Nagy,0.0,5,64562.35,3,5,5,13
CUST-00029,Bhavna Sidhu,128.0,5,63622.35,3,5,5,13
CUST-00192,Zashil Patil,61.0,6,62386.41,3,5,5,13
CUST-00026,Eiravati Vohra,0.0,6,61538.07,3,5,5,13
CUST-00127,Aadhya Hora,0.0,6,59234.03,3,5,5,13
CUST-00226,Farhan Sami,0.0,5,58688.96,3,5,5,13
CUST-00441,Zinal Reddy,0.0,5,57711.18,3,5,5,13
