customer_id,customer_name,frequency,monetary,frequency_segment,spend_segment
CUST-00261,Yatin Dhaliwal,6,125061.2,Loyal,High
CUST-00293,Liam Chander,5,116091.71,Loyal,High
CUST-00143,Dalbir Hegde,5,115815.77,Loyal,High
CUST-00124,Reva Dugar,6,115179.68,Loyal,High
CUST-00280,Varenya Sabharwal,6,100300.41,Loyal,High
CUST-00139,Maya Chauhan,5,99861.51,Loyal,High
CUST-00427,Lakshit Ramesh,5,90579.34,Loyal,High
CUST-00499,Reva Soman,6,89413.31,Loyal,High
CUST-00431,Daksh Sarin,6,82627.95,Loyal,High
CUST-00350,Priya Modi,5,82533.49,Loyal,High
CUST-00369,Simon Yadav,6,81720.29,Loyal,High
CUST-00227,Yahvi Chatterjee,5,80802.92,Loyal,High
CUST-00156,Indira Ben,6,77320.72,Loyal,High
CUST-00009,Zayan Khosla,5,77047.01,Loyal,High
CUST-00363,Krisha Sridhar,5,76423.88,Loyal,High
CUST-00045,Abha Dhingra,6,75798.2,Loyal,High
CUST-00079,Triya Salvi,4,71918.53,Occasional,High
CUST-00493,Shaurya Dhaliwal,4,70319.41,Occasional,High
CUST-00119,Ekaraj Contractor,6,69880.38,Loyal,High
CUST-00384,Harsh Deo,5,69878.04,Loyal,High
CUST-00066,Noah Dora,6,68789.93,Loyal,High
CUST-00172,Lakshmi Wason,6,67395.93,Loyal,High
CUST-00211,Devansh Das,4,66935.11,Occasional,High
CUST-00408,Hamsini Joshi,5,66884.12,Loyal,High
CUST-00219,Chasmum Khanna,7,66869.8,Loyal,High
CUST-00015,Unni Gill,6,65970.65,Loyal,High
CUST-00414,George Chaudhry,5,65578.08,Loyal,High
CUST-00058,Nicholas Brahmbhatt,5,65539.76,Loyal,High
CUST-00334,Mahika Swaminathan,8,65404.64,Loyal,High
CUST-00149,Yashawini Swaminathan,5,65258.0,Loyal,High
CUST-00367,Barkha Bora,7,65171.2,Loyal,High
CUST-00447,Pavani Nagy,5,64562.35,Loyal,High
CUST-00309,Amol Om,4,64418.84,Occasional,High
CUST-00097,Ansh Parmer,4,64050.11,Occasional,High
CUST-00054,Chandresh Kurian,3,63661.65,Occasional,High
CUST-00029,Bhavna Sidhu,5,63622.35,Loyal,High
CUST-00342,Lucky Menon,4,63406.93,Occasional,High
CUST-00120,Sara Brar,3,62468.04,Occasional,High
CUST-00192,Zashil Patil,6,62386.41,Loyal,High
CUST-00026,Eiravati Vohra,6,61538.07,Loyal,High
CUST-00194,Chakradev Samra,3,61190.44,Occasional,High
CUST-00118,Lila Mishra,3,61116.66,Occasional,High
CUST-00264,Fiyaz Srivastava,4,60829.4,Occasional,High
CUST-00405,Gaurang D’Alia,4,60084.03,Occasional,High
CUST-00333,Lekha Aggarwal,6,59252.98,Loyal,High
CUST-00127,Aadhya Hora,6,59234.03,Loyal,High
CUST-00279,Om Handa,3,58771.99,Occasional,High
CUST-00226,Farhan Sami,5,58688.96,Loyal,High
CUST-00272,Mitali Srinivasan,3,58649.16,Occasional,High
CUST-00348,Waida Bahri,6,58237.61,Loyal,High
CUST-00434,Aditya Sheth,4,58113.49,Occasional,High
CUST-00267,Yochana Ahluwalia,4,57788.25,Occasional,High
CUST-00441,Zinal Reddy,5,57711.18,Loyal,High
CUST-00166,Anmol Sarkar,3,57266.72,Occasional,High
CUST-00278,Ekaja Chaudhary,3,56895.47,Occasional,High
CUST-00492,Indrajit Setty,5,56381.99,Loyal,High
CUST-00105,Shravya Palan,4,55685.24,Occasional,High
CUST-00390,Parth Pandit,3,55426.17,Occasional,High
CUST-00359,Januja Samra,4,55181.98,Occasional,High
CUST-00016,Lucky Deo,3,55141.95,Occasional,High
CUST-00329,Jagat Srinivas,4,54900.24,Occasional,High
CUST-00177,Aadi Nigam,5,54021.33,Loyal,High
CUST-00162,Garima Bhagat,5,54005.84,Loyal,High
CUST-00300,Aryan Vohra,3,53315.35,Occasional,High
CUST-00419,Abhiram Apte,5,53162.1,Loyal,High
CUST-00239,Mason Ramakrishnan,4,53161.4,Occasional,High
CUST-00126,Isha Sastry,2,52938.28,Occasional,High
CUST-00040,Zayyan Krishna,3,52882.09,Occasional,High
CUST-00353,Wishi Mangal,3,52495.62,Occasional,High
CUST-00233,Karan Mandal,8,52315.68,Loyal,High
CUST-00100,Triveni Varma,5,51474.55,Loyal,High
CUST-00184,Gaurangi Rau,4,51380.26,Occasional,High
CUST-00409,Krishna Dara,4,51187.38,Occasional,High
CUST-00128,Jairaj Pandey,3,51108.91,Occasional,High
CUST-00189,Ishita Dhaliwal,5,51046.28,Loyal,High
CUST-00354,Reyansh Tripathi,4,50795.83,Occasional,High
CUST-00188,Kai Karan,5,50780.91,Loyal,High
CUST-00289,Aadhya Sridhar,4,49852.89,Occasional,Medium
CUST-00323,Wazir Lal,3,49523.11,Occasional,Medium
CUST-00436,Inaya Barad,4,49466.2,Occasional,Medium
CUST-00135,Neelima Andra,5,49288.69,Loyal,Medium
CUST-00325,Ati Madan,3,49105.74,Occasional,Medium
CUST-00437,Girindra Rao,4,49073.6,Occasional,Medium
CUST-00326,Jagat Pandey,3,48689.13,Occasional,Medium
CUST-00450,Advik Singhal,4,48589.17,Occasional,Medium
CUST-00417,Megha Barad,4,48338.96,Occasional,Medium
CUST-00443,Champak Ganesan,5,48153.5,Loyal,Medium
CUST-00159,Rishi Bains,3,47878.14,Occasional,Medium
CUST-00152,Abhimanyu Reddy,4,47467.14,Occasional,Medium
CUST-00081,Balvan Hegde,4,47463.49,Occasional,Medium
CUST-00182,Jeevika Mander,4,47343.68,Occasional,Medium
CUST-00064,Sai Lanka,3,47243.77,Occasional,Medium
CUST-00489,Wazir Saha,3,46436.54,Occasional,Medium
CUST-00454,Ria Shanker,7,46413.4,Loyal,Medium
CUST-00299,Warinder Suresh,4,46409.19,Occasional,Medium
CUST-00028,Tanvi Chander,4,46079.88,Occasional,Medium
CUST-00181,Aradhana Bala,6,45702.64,Loyal,Medium
CUST-00093,Mason Sarraf,6,45644.51,Loyal,Medium
CUST-00255,Rushil Nagi,3,45514.79,Occasional,Medium
CUST-00413,Vasatika Gara,3,45325.38,Occasional,Medium
CUST-00060,Tanvi Wason,3,44804.06,Occasional,Medium
CUST-00479,Ridhi Sibal,4,44794.89,Occasional,Medium
CUST-00070,Ekaraj Sathe,3,44736.51,Occasional,Medium
CUST-00095,Bhavini Kalla,2,44202.2,Occasional,Medium
CUST-00044,Yadavi Bahl,2,44012.65,Occasional,Medium
CUST-00449,Bakhshi Khanna,3,43934.25,Occasional,Medium
CUST-00017,Leena Sampath,4,43850.02,Occasional,Medium
CUST-00136,Omkaar More,2,43802.91,Occasional,Medium
