customer_id,customer_name,orders,lifetime_value
CUST-00261,Yatin Dhaliwal,6,125061.2
CUST-00293,Liam Chander,5,116091.71
CUST-00143,Dalbir Hegde,5,115815.77
CUST-00124,Reva Dugar,6,115179.68
CUST-00280,Varenya Sabharwal,6,100300.41
CUST-00139,Maya Chauhan,5,99861.51
CUST-00427,Lakshit Ramesh,5,90579.34
CUST-00499,Reva Soman,6,89413.31
CUST-00431,Daksh Sarin,6,82627.95
CUST-00350,Priya Modi,5,82533.49
CUST-00369,Simon Yadav,6,81720.29
CUST-00227,Yahvi Chatterjee,5,80802.92
CUST-00156,Indira Ben,6,77320.72
CUST-00009,Zayan Khosla,5,77047.01
CUST-00363,Krisha Sridhar,5,76423.88
CUST-00045,Abha Dhingra,6,75798.2
CUST-00079,Triya Salvi,4,71918.53
CUST-00493,Shaurya Dhaliwal,4,70319.41
CUST-00119,Ekaraj Contractor,6,69880.38
CUST-00384,Harsh Deo,5,69878.04
CUST-00066,Noah Dora,6,68789.93
CUST-00172,Lakshmi Wason,6,67395.93
CUST-00211,Devansh Das,4,66935.11
CUST-00408,Hamsini Joshi,5,66884.12
CUST-00219,Chasmum Khanna,7,66869.8
CUST-00015,Unni Gill,6,65970.65
CUST-00414,George Chaudhry,5,65578.08
CUST-00058,Nicholas Brahmbhatt,5,65539.76
CUST-00334,Mahika Swaminathan,8,65404.64
CUST-00149,Yashawini Swaminathan,5,65258.0
CUST-00367,Barkha Bora,7,65171.2
CUST-00447,Pavani Nagy,5,64562.35
CUST-00309,Amol Om,4,64418.84
CUST-00097,Ansh Parmer,4,64050.11
CUST-00054,Chandresh Kurian,3,63661.65
CUST-00029,Bhavna Sidhu,5,63622.35
CUST-00342,Lucky Menon,4,63406.93
CUST-00120,Sara Brar,3,62468.04
CUST-00192,Zashil Patil,6,62386.41
CUST-00026,Eiravati Vohra,6,61538.07
CUST-00194,Chakradev Samra,3,61190.44
CUST-00118,Lila Mishra,3,61116.66
CUST-00264,Fiyaz Srivastava,4,60829.4
CUST-00405,Gaurang D’Alia,4,60084.03
CUST-00333,Lekha Aggarwal,6,59252.98
CUST-00127,Aadhya Hora,6,59234.03
CUST-00279,Om Handa,3,58771.99
CUST-00226,Farhan Sami,5,58688.96
CUST-00272,Mitali Srinivasan,3,58649.16
CUST-00348,Waida Bahri,6,58237.61
CUST-00434,Aditya Sheth,4,58113.49
CUST-00267,Yochana Ahluwalia,4,57788.25
CUST-00441,Zinal Reddy,5,57711.18
CUST-00166,Anmol Sarkar,3,57266.72
CUST-00278,Ekaja Chaudhary,3,56895.47
CUST-00492,Indrajit Setty,5,56381.99
CUST-00105,Shravya Palan,4,55685.24
CUST-00390,Parth Pandit,3,55426.17
CUST-00359,Januja Samra,4,55181.98
CUST-00016,Lucky Deo,3,55141.95
CUST-00329,Jagat Srinivas,4,54900.24
CUST-00177,Aadi Nigam,5,54021.33
CUST-00162,Garima Bhagat,5,54005.84
CUST-00300,Aryan Vohra,3,53315.35
CUST-00419,Abhiram Apte,5,53162.1
CUST-00239,Mason Ramakrishnan,4,53161.4
CUST-00126,Isha Sastry,2,52938.28
