customer_id,customer_name,customer_type,order_count,lifetime_value
CUST-00001,Theodore Arya,VIP,1,5469.67
CUST-00002,Pallavi Som,VIP,3,14546.14
CUST-00003,Caleb Loyal,VIP,1,12579.26
CUST-00004,Om Samra,VIP,4,33312.14
CUST-00005,Harrison Chada,REGULAR,3,40197.61
CUST-00006,Victor Vora,VIP,2,22431.9
CUST-00007,Chameli Bath,VIP,3,10229.93
CUST-00008,Warhi Bhatnagar,VIP,1,3645.01
CUST-00009,Zayan Khosla,VIP,5,77047.01
CUST-00010,Brinda Raman,VIP,1,10018.58
CUST-00011,Wakeeta Choudhary,VIP,0,0.0
CUST-00012,Mohammed Sankar,REGULAR,3,27864.72
CUST-00013,Ekani Bose,REGULAR,0,0.0
CUST-00014,Aarna Prashad,PREMIUM,2,28244.67
CUST-00015,Unni Gill,REGULAR,6,65970.65
CUST-00016,Lucky Deo,REGULAR,3,55141.95
CUST-00017,Leena Sampath,VIP,4,43850.02
CUST-00018,Aarav Vyas,VIP,2,15108.65
CUST-00019,Dakshesh Koshy,REGULAR,5,22595.61
CUST-00020,Mitali Bhargava,VIP,3,28521.35
CUST-00021,Avni Tiwari,REGULAR,3,19906.24
CUST-00022,Raagini Bahri,PREMIUM,2,34095.72
CUST-00023,Devika Sarin,VIP,1,15971.03
CUST-00024,Harinakshi Khurana,VIP,3,24226.45
CUST-00025,Bachittar Ben,PREMIUM,4,38530.87
CUST-00026,Eiravati Vohra,PREMIUM,6,61538.07
CUST-00027,Ekta Arora,PREMIUM,0,0.0
CUST-00028,Tanvi Chander,VIP,4,46079.88
CUST-00029,Bhavna Sidhu,REGULAR,5,63622.35
CUST-00030,Champak Memon,REGULAR,2,41019.61
CUST-00031,Bhavya Oommen,PREMIUM,1,8426.37
CUST-00032,Ekanta Bhagat,VIP,1,7779.43
CUST-00033,Chatura Balay,PREMIUM,3,38154.6
CUST-00034,Pratyush Sahota,REGULAR,2,6787.27
CUST-00035,Tamanna Sethi,PREMIUM,1,4957.74
CUST-00036,Aayush Maharaj,REGULAR,3,31078.11
CUST-00037,Chatresh Kohli,VIP,0,0.0
CUST-00038,Oliver Agate,REGULAR,4,35948.89
CUST-00039,Bhavna Ramaswamy,REGULAR,4,18320.27
CUST-00040,Zayyan Krishna,REGULAR,3,52882.09
CUST-00041,Pallavi Dayal,REGULAR,4,26682.24
CUST-00042,Gaurangi Bhasin,REGULAR,2,2060.17
CUST-00043,Ishaan Ramachandran,REGULAR,2,14349.25
CUST-00044,Yadavi Bahl,VIP,2,44012.65
CUST-00045,Abha Dhingra,REGULAR,6,75798.2
CUST-00046,Siya Desai,VIP,3,41783.0
CUST-00047,Varsha Sastry,VIP,2,10273.82
CUST-00048,Bhavna Srinivasan,PREMIUM,4,42994.1
CUST-00049,Vedhika Randhawa,PREMIUM,3,18688.22
CUST-00050,Xalak Khosla,REGULAR,2,29680.02
CUST-00052,Chakrika Gour,VIP,4,33988.02
CUST-00053,Teerth Narasimhan,REGULAR,3,22621.79
CUST-00054,Chandresh Kurian,PREMIUM,3,63661.65
CUST-00055,Vyanjana Oommen,PREMIUM,2,18981.59
CUST-00056,Fiyaz Nagarajan,REGULAR,1,11874.5
CUST-00057,Yahvi Varkey,REGULAR,0,0.0
CUST-00058,Nicholas Brahmbhatt,PREMIUM,5,65539.76
CUST-00059,Lipika Varty,VIP,1,31417.67
CUST-00060,Tanvi Wason,PREMIUM,3,44804.06
CUST-00061,Veda Padmanabhan,REGULAR,4,23192.81
CUST-00062,Unnati Natt,PREMIUM,4,15672.06
CUST-00063,Yatin Bumb,REGULAR,4,41531.31
CUST-00064,Sai Lanka,VIP,3,47243.77
CUST-00065,Ishita Bail,REGULAR,1,0.0
CUST-00066,Noah Dora,PREMIUM,6,68789.93
CUST-00067,Abhiram Karpe,REGULAR,4,33613.22
CUST-00068,Devansh Parsa,PREMIUM,1,4564.56
CUST-00069,Mitali Reddy,PREMIUM,4,40896.55
CUST-00070,Ekaraj Sathe,REGULAR,3,44736.51
CUST-00071,Veer Sharaf,REGULAR,4,25114.67
CUST-00072,Bimala Bains,REGULAR,2,16545.6
CUST-00073,Wriddhish Guha,VIP,3,23353.48
CUST-00074,Tanvi Peri,REGULAR,2,35802.47
CUST-00075,Advik Konda,REGULAR,1,34649.36
CUST-00076,Libni Pingle,REGULAR,2,10621.71
CUST-00077,Jasmit Reddy,REGULAR,2,40552.42
CUST-00078,Hiral Contractor,VIP,3,27818.14
CUST-00079,Triya Salvi,PREMIUM,4,71918.53
CUST-00080,Dominic Sankaran,REGULAR,2,27578.93
CUST-00081,Balvan Hegde,VIP,4,47463.49
CUST-00082,Ubika Nagar,VIP,3,13173.95
