customer_id,customer_name,registration_date
CUST-00060,Tanvi Wason,2018-01-03
CUST-00141,Warda Prakash,2018-01-16
CUST-00087,Anusha Shukla,2018-03-04
CUST-00028,Tanvi Chander,2018-03-10
CUST-00409,Krishna Dara,2018-03-10
CUST-00373,Christopher Chad,2018-03-11
CUST-00183,Timothy Nigam,2018-05-08
CUST-00068,Devansh Parsa,2018-05-11
CUST-00445,Oeshi Nori,2018-05-28
CUST-00400,Faras Parmar,2018-06-03
CUST-00204,Zansi Gala,2018-06-04
CUST-00106,Rajata Balakrishnan,2018-06-19
CUST-00471,Tristan Borde,2018-06-25
CUST-00285,Bishakha Bal,2018-07-07
CUST-00010,Brinda Raman,2018-07-18
CUST-00188,Kai Karan,2018-08-01
CUST-00339,Luke Raj,2018-08-12
CUST-00219,Chasmum Khanna,2018-09-03
CUST-00346,Mohammed Mander,2018-09-09
CUST-00260,Jhalak Hans,2018-09-10
CUST-00376,Jairaj Goel,2018-10-15
CUST-00129,Vanya Thaman,2018-10-25
CUST-00476,Aayush Borra,2018-10-27
CUST-00140,Aayush Sodhi,2018-10-28
CUST-00215,Hemani Gokhale,2018-11-07
CUST-00360,Tanvi Bath,2018-11-09
CUST-00403,Leena Shetty,2018-11-09
CUST-00482,Gauri Parmer,2018-12-01
CUST-00370,Daniel Ravel,2018-12-12
CUST-00412,Vedika Malhotra,2018-12-26
CUST-00415,Triya Krishna,2018-12-29
CUST-00397,Prisha Mitra,2019-02-06
CUST-00122,Nathan Swamy,2019-02-18
CUST-00276,Vasana Nayak,2019-03-11
CUST-00374,Mugdha Gaba,2019-03-31
CUST-00333,Lekha Aggarwal,2019-04-02
CUST-00205,Siddharth Varkey,2019-04-14
CUST-00234,Neha Purohit,2019-04-14
CUST-00035,Tamanna Sethi,2019-04-23
CUST-00273,Yamini Handa,2019-05-21
CUST-00316,Elijah Varghese,2019-06-09
CUST-00498,Nachiket Johal,2019-06-14
CUST-00063,Yatin Bumb,2019-06-17
CUST-00416,Nicholas Chana,2019-06-17
CUST-00304,Tripti Kaur,2019-07-02
CUST-00472,Qasim Shanker,2019-07-03
CUST-00459,Damyanti Som,2019-07-06
CUST-00038,Oliver Agate,2019-07-13
CUST-00247,Ayaan Dave,2019-07-30
CUST-00216,Logan Murty,2019-08-21
CUST-00126,Isha Sastry,2019-08-29
CUST-00164,Ekansh Narayan,2019-09-17
CUST-00207,Suhani Chowdhury,2019-09-21
CUST-00083,Atharv Tailor,2019-09-23
CUST-00091,Niharika Bhardwaj,2019-10-09
CUST-00388,Balendra Sem,2019-10-22
CUST-00408,Hamsini Joshi,2019-12-04
CUST-00231,Charles Soni,2019-12-16
CUST-00262,Chameli Chahal,2019-12-17
CUST-00324,Upasna Ray,2020-01-04
CUST-00202,Abdul Murty,2020-01-09
CUST-00419,Abhiram Apte,2020-01-15
CUST-00158,Orinder Purohit,2020-01-18
CUST-00452,Sara Vasa,2020-01-24
CUST-00180,Ekaraj Tripathi,2020-01-28
CUST-00466,Omaja Shukla,2020-01-30
CUST-00100,Triveni Varma,2020-02-07
CUST-00032,Ekanta Bhagat,2020-02-10
CUST-00337,Aishani Gopal,2020-02-16
CUST-00398,Ucchal Kamdar,2020-02-22
CUST-00348,Waida Bahri,2020-03-19
CUST-00206,Gaurika Dhar,2020-04-05
CUST-00353,Wishi Mangal,2020-04-17
CUST-00134,Oscar Yogi,2020-04-22
CUST-00171,Raagini Borah,2020-05-08
CUST-00103,Nachiket Balan,2020-05-31
CUST-00166,Anmol Sarkar,2020-06-06
CUST-00332,Chanakya Kanda,2020-06-15
CUST-00265,Om Amble,2020-06-16
CUST-00105,Shravya Palan,2020-07-05
CUST-00266,Ekavir Bassi,2020-07-26
CUST-00116,Pavani Swaminathan,2020-08-04
CUST-00121,Yash Dhaliwal,2020-08-07
CUST-00279,Om Handa,2020-08-26
CUST-00254,Fitan Khanna,2020-08-29
CUST-00343,Chanakya Chakraborty,2020-09-01
CUST-00317,Saksham Khosla,2020-09-29
CUST-00184,Gaurangi Rau,2020-10-07
CUST-00379,Urvi Kala,2020-10-13
CUST-00268,Krishna Patla,2020-10-27
CUST-00069,Mitali Reddy,2020-11-03
CUST-00404,Pushti Raghavan,2020-11-10
CUST-00174,Harita Sandal,2020-11-18
CUST-00356,Anvi Ben,2020-12-23
CUST-00042,Gaurangi Bhasin,2021-01-21
CUST-00396,Samarth Johal,2021-02-06
CUST-00044,Yadavi Bahl,2021-02-11
CUST-00468,Zansi Brahmbhatt,2021-02-16
CUST-00120,Sara Brar,2021-03-18
CUST-00249,Zashil Desai,2021-03-22
CUST-00135,Neelima Andra,2021-03-26
CUST-00109,Yagnesh Nigam,2021-03-29
