region_code,customer_id,customer_name,revenue
CENTRAL,CUST-00119,Ekaraj Contractor,56920.19
CENTRAL,CUST-00016,Lucky Deo,45542.62
CENTRAL,CUST-00015,Unni Gill,44701.77
EAST,CUST-00323,Wazir Lal,47117.08
EAST,CUST-00064,Sai Lanka,44572.34
EAST,CUST-00128,Jairaj Pandey,41475.51
NCR,CUST-00079,Triya Salvi,59920.96
NCR,CUST-00030,Champak Memon,36475.41
NCR,CUST-00449,Bakhshi Khanna,35763.8
NORTH,CUST-00261,Yatin Dhaliwal,96785.58
NORTH,CUST-00143,Dalbir Hegde,77656.64
NORTH,CUST-00278,Ekaja Chaudhary,50215.16
SOUTH,CUST-00118,Lila Mishra,50449.79
SOUTH,CUST-00239,Mason Ramakrishnan,45322.09
SOUTH,CUST-00026,Eiravati Vohra,37416.22
WEST,CUST-00499,Reva Soman,57000.45
WEST,CUST-00293,Liam Chander,56695.85
WEST,CUST-00194,Chakradev Samra,46269.96
